        Frequency / GHz                S1,1/abs,dB
                 10,4853                       -3,582232
                 10,5002                      -3,6016191
                 10,5151                      -3,6222549
                   10,53                      -3,6439709
                 10,5449                       -3,666585
                 10,5598                      -3,6899149
                 10,5747                      -3,7137898
                 10,5896                      -3,7380492
                 10,6045                      -3,7625639
                 10,6194                      -3,7872369
                 10,6343                      -3,8120098
                 10,6492                      -3,8368676
                 10,6641                      -3,8618429
                  10,679                      -3,8870127
                 10,6939                      -3,9125002
                 10,7088                      -3,9384653
                 10,7237                      -3,9651056
                 10,7386                      -3,9926445
                 10,7535                      -4,0213245
                 10,7684                       -4,051398
                 10,7833                      -4,0831175
                 10,7982                      -4,1167312
                 10,8131                      -4,1524667
                  10,828                      -4,1905276
                 10,8429                      -4,2310889
                 10,8578                      -4,2742884
                 10,8727                      -4,3202217
                 10,8876                       -4,368946
                 10,9025                      -4,4204735
                 10,9174                       -4,474775
                 10,9323                      -4,5317853
                 10,9472                      -4,5914026
                 10,9621                      -4,6534963
                  10,977                      -4,7179144
                 10,9919                      -4,7844912
                 11,0068                      -4,8530575
                 11,0217                      -4,9234434
                 11,0366                      -4,9954933
                 11,0515                      -5,0690721
                 11,0664                      -5,1440711
                 11,0813                      -5,2204169
                 11,0962                      -5,2980754
                 11,1111                       -5,377054
                  11,126                      -5,4574054
                 11,1409                       -5,539225
                 11,1558                      -5,6226488
                 11,1707                      -5,7078505
                 11,1856                      -5,7950349
                 11,2005                      -5,8844313
                 11,2154                      -5,9762864
                 11,2303                      -6,0708525
                 11,2452                      -6,1683838
                 11,2601                      -6,2691242
                  11,275                       -6,373302
                 11,2899                      -6,4811219
                 11,3048                      -6,5927569
                 11,3197                       -6,708347
                 11,3346                      -6,8279941
                 11,3495                      -6,9517597
                 11,3644                      -7,0796676
                 11,3793                      -7,2117013
                 11,3942                      -7,3478107
                 11,4091                      -7,4879143
                  11,424                      -7,6319061
                 11,4389                       -7,779663
                 11,4538                      -7,9310529
                 11,4687                      -8,0859396
                 11,4836                      -8,2441971
                 11,4985                      -8,4057142
                 11,5134                      -8,5704028
                 11,5283                      -8,7382064
                 11,5432                      -8,9091033
                 11,5581                      -9,0831122
                  11,573                      -9,2602922
                 11,5879                      -9,4407405
                 11,6028                      -9,6245956
                 11,6177                      -9,8120235
                 11,6326                      -10,003217
                 11,6475                      -10,198378
                 11,6624                      -10,397717
                 11,6773                      -10,601426
                 11,6922                      -10,809677
                 11,7071                      -11,022593
                  11,722                      -11,240243
                 11,7369                       -11,46262
                 11,7518                      -11,689624
                 11,7667                      -11,921045
                 11,7816                      -12,156545
                 11,7965                      -12,395646
                 11,8114                       -12,63771
                 11,8263                       -12,88193
                 11,8412                      -13,127312
                 11,8561                      -13,372672
                  11,871                      -13,616627
                 11,8859                      -13,857592
                 11,9008                      -14,093794
                 11,9157                      -14,323275
                 11,9306                      -14,543921
                 11,9455                      -14,753493
                 11,9604                      -14,949675
                 11,9753                      -15,130126
                 11,9902                      -15,292557
                 12,0051                      -15,434801
                   12,02                      -15,554908
                 12,0349                      -15,651216
                 12,0498                       -15,72244
                 12,0647                      -15,767732
                 12,0796                      -15,786726
                 12,0945                       -15,77956
                 12,1094                      -15,746869
                 12,1243                      -15,689749
                 12,1392                      -15,609705
                 12,1541                      -15,508574
                  12,169                      -15,388443
                 12,1839                      -15,251558
                 12,1988                      -15,100244
                 12,2137                      -14,936821
                 12,2286                      -14,763545
                 12,2435                       -14,58255
                 12,2584                      -14,395807
                 12,2733                      -14,205103
                 12,2882                      -14,012012
                 12,3031                        -13,8179
                  12,318                      -13,623916
                 12,3329                      -13,431004
                 12,3478                      -13,239912
                 12,3627                      -13,051207
                 12,3776                      -12,865292
                 12,3925                      -12,682431
                 12,4074                      -12,502763
                 12,4223                       -12,32633
                 12,4372                      -12,153099
                 12,4521                      -11,982982
                  12,467                      -11,815861
                 12,4819                      -11,651607
                 12,4968                        -11,4901
                 12,5117                      -11,331247
                 12,5266                      -11,174992
                 12,5415                      -11,021332
                 12,5564                      -10,870321
                 12,5713                      -10,722073
                 12,5862                      -10,576763
                 12,6011                      -10,434627
                  12,616                      -10,295947
                 12,6309                      -10,161047
                 12,6458                      -10,030283
                 12,6607                      -9,9040255
                 12,6756                      -9,7826486
                 12,6905                      -9,6665183
                 12,7054                      -9,5559721
                 12,7203                      -9,4513139
                 12,7352                      -9,3527995
                 12,7501                      -9,2606252
                  12,765                      -9,1749202
                 12,7799                      -9,0957414
                 12,7948                      -9,0230707
                 12,8097                      -8,9568055
                 12,8246                      -8,8967652
                 12,8395                      -8,8426895
                 12,8544                      -8,7942456
                 12,8693                      -8,7510294
                 12,8842                      -8,7125794
                 12,8991                      -8,6783847
                  12,914                      -8,6478966
                 12,9289                      -8,6205457
                 12,9438                      -8,5957543
                 12,9587                      -8,5729544
                 12,9736                      -8,5516062
                 12,9885                      -8,5312083
                 13,0034                      -8,5113167
                 13,0183                      -8,4915533
                 13,0332                      -8,4716206
                 13,0481                         -8,4513
                  13,063                      -8,4304555
                 13,0779                      -8,4090366
                 13,0928                      -8,3870633
                 13,1077                      -8,3646207
                 13,1226                      -8,3418467
                 13,1375                      -8,3189118
                 13,1524                      -8,2960074
                 13,1673                      -8,2733247
                 13,1822                      -8,2510412
                 13,1971                       -8,229301
                  13,212                      -8,2082062
                 13,2269                      -8,1878028
                 13,2418                      -8,1680779
                 13,2567                      -8,1489484
                 13,2716                        -8,13027
                 13,2865                      -8,1118374
                 13,3014                        -8,09339
                 13,3163                      -8,0746273
                 13,3312                       -8,055222
                 13,3461                       -8,034836
                  13,361                      -8,0131401
                 13,3759                       -7,989833
                 13,3908                      -7,9646589
                 13,4057                      -7,9374266
                 13,4206                      -7,9080193
                 13,4355                      -7,8764132
                 13,4504                      -7,8426741
                 13,4653                      -7,8069656
                 13,4802                      -7,7695425
                 13,4951                      -7,7307444
                   13,51                      -7,6909806
                 13,5249                      -7,6507154
                 13,5398                      -7,6104504
                 13,5547                      -7,5707029
                 13,5696                      -7,5319875
                 13,5845                      -7,4947944
                 13,5994                      -7,4595731
                 13,6143                      -7,4267143
                 13,6292                      -7,3965388
                 13,6441                      -7,3692816
                  13,659                      -7,3450914
                 13,6739                      -7,3240231
                 13,6888                      -7,3060334
                 13,7037                      -7,2909901
                 13,7186                      -7,2786732
                 13,7335                      -7,2687865
                 13,7484                      -7,2609695
                 13,7633                      -7,2548103
                 13,7782                      -7,2498655
                 13,7931                       -7,245679
                  13,808                      -7,2417983
                 13,8229                       -7,237797
                 13,8378                      -7,2332923
                 13,8527                       -7,227965
                 13,8676                      -7,2215705
                 13,8825                      -7,2139467
                 13,8974                      -7,2050277
                 13,9123                      -7,1948363
                 13,9272                      -7,1834867
                 13,9421                      -7,1711716
                  13,957                      -7,1581513
                 13,9719                      -7,1447381
                 13,9868                      -7,1312776
                 14,0017                      -7,1181268
                 14,0166                       -7,105636
                 14,0315                      -7,0941276
                 14,0464                      -7,0838809
                 14,0613                      -7,0751113
                 14,0762                       -7,067961
                 14,0911                      -7,0624884
                  14,106                      -7,0586619
                 14,1209                      -7,0563583
                 14,1358                      -7,0553658
                 14,1507                      -7,0553898
                 14,1656                      -7,0560633
                 14,1805                      -7,0569632
                 14,1954                      -7,0576273
                 14,2103                      -7,0575735
                 14,2252                      -7,0563254
                 14,2401                      -7,0534344
                  14,255                      -7,0485029
                 14,2699                      -7,0412062
                 14,2848                      -7,0313127
                 14,2997                      -7,0186958
                 14,3146                      -7,0033443
                 14,3295                      -6,9853666
                 14,3444                      -6,9649883
                 14,3593                      -6,9425421
                 14,3742                      -6,9184522
