        Frequency / GHz                S1,1 (Lf=8.1)/abs,dB
                  19.636                       -6.102286
               19.662399                      -6.0581361
               19.688801                      -6.0164978
                 19.7152                      -5.9773424
                 19.7416                      -5.9406297
                  19.768                      -5.9063085
               19.794399                      -5.8743221
               19.820801                      -5.8445996
                 19.8472                      -5.8170699
                 19.8736                      -5.7916529
                    19.9                      -5.7682598
               19.926399                      -5.7468003
               19.952801                      -5.7271782
                 19.9792                      -5.7092956
                 20.0056                      -5.6930515
                  20.032                      -5.6783438
               20.058399                      -5.6650696
               20.084801                      -5.6531285
                 20.1112                        -5.64242
                 20.1376                      -5.6328442
                  20.164                      -5.6243097
               20.190399                       -5.616724
               20.216801                      -5.6100005
                 20.2432                      -5.6040585
                 20.2696                       -5.598822
                  20.296                      -5.5942219
               20.322399                      -5.5901975
               20.348801                      -5.5866905
                 20.3752                      -5.5836531
                 20.4016                      -5.5810425
               20.427999                      -5.5788223
               20.454399                      -5.5769623
               20.480801                      -5.5754426
                 20.5072                      -5.5742432
                 20.5336                      -5.5733541
               20.559999                      -5.5727664
               20.586399                      -5.5724762
               20.612801                      -5.5724854
                 20.6392                      -5.5727958
                 20.6656                      -5.5734105
               20.691999                      -5.5743372
               20.718399                      -5.5755802
               20.744801                      -5.5771455
                 20.7712                      -5.5790367
                 20.7976                      -5.5812563
               20.823999                      -5.5838014
               20.850401                      -5.5866691
               20.876801                       -5.589851
