        Frequency / GHz                S1,1 (W=37.2)/abs,dB
               19.134399                      -8.5936957
               19.160801                      -8.6936738
               19.187201                      -8.7916986
                 19.2136                      -8.8872429
                   19.24                      -8.9800008
               19.266399                      -9.0698961
               19.292801                      -9.1570652
               19.319201                      -9.2418241
                 19.3456                      -9.3246271
                  19.372                      -9.4059958
               19.398399                      -9.4864638
               19.424801                      -9.5665113
                 19.4512                      -9.6465086
                 19.4776                      -9.7266732
                  19.504                      -9.8070386
               19.530399                      -9.8874442
               19.556801                      -9.9675424
                 19.5832                      -10.046818
                 19.6096                      -10.124635
                  19.636                      -10.200284
               19.662399                      -10.273047
               19.688801                      -10.342258
                 19.7152                      -10.407368
                 19.7416                      -10.467988
                  19.768                      -10.523932
               19.794399                      -10.575226
               19.820801                      -10.622099
                 19.8472                      -10.664962
                 19.8736                      -10.704357
                    19.9                      -10.740898
               19.926399                      -10.775214
               19.952801                      -10.807877
                 19.9792                      -10.839353
                 20.0056                      -10.869949
                  20.032                      -10.899791
               20.058399                       -10.92881
               20.084801                       -10.95675
                 20.1112                      -10.983197
                 20.1376                      -11.007621
                  20.164                       -11.02943
               20.190399                      -11.048042
               20.216801                      -11.062939
                 20.2432                      -11.073743
                 20.2696                      -11.080253
                  20.296                      -11.082481
               20.322399                      -11.080671
               20.348801                      -11.075279
                 20.3752                      -11.066949
                 20.4016                      -11.056458
               20.427999                      -11.044663
               20.454399                      -11.032424
               20.480801                      -11.020548
                 20.5072                      -11.009719
                 20.5336                      -11.000452
               20.559999                      -10.993056
               20.586399                      -10.987613
               20.612801                      -10.983974
                 20.6392                      -10.981776
                 20.6656                      -10.980463
               20.691999                      -10.979341
               20.718399                      -10.977626
               20.744801                      -10.974504
                 20.7712                      -10.969199
                 20.7976                      -10.961029
               20.823999                       -10.94946
               20.850401                      -10.934136
               20.876801                      -10.914901
